# uv coords for Mira obs: 5 minute sampling, 30 degrees min elevation
# Baselines: A1-B2 B2-C1 C1-D0 A1-D0 A1-C1 B2-D0

-10.159   4.537   -4.982  -9.313   -9.997 -18.635  -25.137 -23.410  -15.141  -4.776  -14.979 -27.947
-10.110   4.541   -5.073  -9.311  -10.178 -18.631  -25.360 -23.400  -15.182  -4.770  -15.250 -27.941
-10.056   4.545   -5.161  -9.309  -10.354 -18.627  -25.570 -23.391  -15.216  -4.764  -15.514 -27.935
 -9.997   4.549   -5.246  -9.307  -10.525 -18.623  -25.768 -23.381  -15.243  -4.758  -15.771 -27.929
 -9.934   4.553   -5.329  -9.305  -10.691 -18.618  -25.954 -23.371  -15.263  -4.752  -16.020 -27.923
 -9.866   4.556   -5.410  -9.303  -10.852 -18.614  -26.128 -23.360  -15.275  -4.746  -16.262 -27.917
 -9.793   4.560   -5.488  -9.300  -11.008 -18.610  -26.289 -23.350  -15.281  -4.740  -16.496 -27.910
 -9.716   4.564   -5.563  -9.298  -11.159 -18.606  -26.437 -23.340  -15.279  -4.734  -16.722 -27.904
 -9.633   4.568   -5.636  -9.296  -11.304 -18.601  -26.573 -23.330  -15.269  -4.728  -16.940 -27.897
 -9.547   4.571   -5.706  -9.294  -11.444 -18.597  -26.697 -23.319  -15.253  -4.722  -17.150 -27.891
 -9.456   4.575   -5.773  -9.292  -11.579 -18.592  -26.807 -23.309  -15.229  -4.716  -17.352 -27.884
 -9.360   4.579   -5.838  -9.289  -11.708 -18.588  -26.905 -23.298  -15.198  -4.711  -17.545 -27.877
 -9.260   4.582   -5.899  -9.287  -11.831 -18.583  -26.990 -23.288  -15.159  -4.705  -17.731 -27.870
 -9.155   4.586   -5.958  -9.285  -11.949 -18.579  -27.063 -23.277  -15.114  -4.699  -17.907 -27.863
 -9.046   4.590   -6.015  -9.282  -12.061 -18.574  -27.122 -23.267  -15.061  -4.693  -18.076 -27.856
 -8.933   4.593   -6.068  -9.280  -12.168 -18.569  -27.169 -23.256  -15.001  -4.687  -18.235 -27.849
 -8.816   4.597   -6.118  -9.278  -12.268 -18.564  -27.202 -23.246  -14.934  -4.681  -18.386 -27.842
 -8.694   4.600   -6.166  -9.275  -12.363 -18.560  -27.223 -23.235  -14.860  -4.675  -18.529 -27.835
 -8.568   4.603   -6.210  -9.273  -12.452 -18.555  -27.230 -23.224  -14.778  -4.670  -18.662 -27.828
 -8.438   4.607   -6.252  -9.270  -12.535 -18.550  -27.225 -23.214  -14.690  -4.664  -18.787 -27.820
 -8.304   4.610   -6.290  -9.268  -12.612 -18.545  -27.207 -23.203  -14.595  -4.658  -18.902 -27.813
 -8.167   4.613   -6.326  -9.266  -12.683 -18.540  -27.175 -23.193  -14.493  -4.652  -19.009 -27.806
 -8.025   4.616   -6.359  -9.263  -12.748 -18.535  -27.131 -23.182  -14.383  -4.647  -19.106 -27.798
 -7.879   4.619   -6.388  -9.261  -12.807 -18.530  -27.074 -23.172  -14.267  -4.641  -19.195 -27.791
 -7.730   4.622   -6.415  -9.258  -12.859 -18.525  -27.004 -23.161  -14.145  -4.636  -19.274 -27.783
 -7.577   4.625   -6.438  -9.256  -12.906 -18.520  -26.921 -23.151  -14.015  -4.630  -19.344 -27.776
 -7.420   4.628   -6.459  -9.253  -12.947 -18.515  -26.826 -23.140  -13.879  -4.625  -19.405 -27.768
 -7.260   4.631   -6.476  -9.251  -12.981 -18.510  -26.717 -23.130  -13.736  -4.619  -19.457 -27.761
 -7.097   4.634   -6.490  -9.248  -13.009 -18.505  -26.596 -23.119  -13.587  -4.614  -19.499 -27.753
 -6.930   4.637   -6.501  -9.246  -13.031 -18.500  -26.462 -23.109  -13.431  -4.609  -19.533 -27.746
 -6.760   4.639   -6.509  -9.243  -13.047 -18.495  -26.316 -23.099  -13.269  -4.604  -19.556 -27.738
 -6.586   4.642   -6.514  -9.240  -13.057 -18.490  -26.157 -23.088  -13.100  -4.599  -19.571 -27.730
 -6.409   4.644   -6.516  -9.238  -13.060 -18.485  -25.986 -23.078  -12.926  -4.594  -19.576 -27.723
 -6.230   4.647   -6.515  -9.235  -13.057 -18.480  -25.802 -23.068  -12.745  -4.589  -19.572 -27.715
 -6.047   4.649   -6.511  -9.233  -13.048 -18.475  -25.606 -23.058  -12.558  -4.584  -19.559 -27.708
 -5.862   4.652   -6.503  -9.230  -13.033 -18.470  -25.398 -23.048  -12.365  -4.579  -19.536 -27.700
