numRemove d/r0 Vsq stdVsq meanCouple stdCouple numIter pupilSize screenSize
 14   4.8329     0.4729    0.07671     0.5602    0.04834 10000   32 1024
 14   6.1585     0.3358     0.1092     0.4655    0.05881 10000   32 1024
 14   7.8476     0.1921    0.06872     0.3547    0.06623 10000   32 1024
 14  10.0000     0.0905    0.04765     0.2372    0.06592 10000   32 1024
 20   0.1000     0.9991  0.0001655     0.8144  7.054e-05 10000   32 1024
 20   0.1274     0.9987  0.0002506     0.8141  0.0001065 10000   32 1024
 20   0.1624      0.998  0.0003722     0.8139    0.00016 10000   32 1024
 20   0.2069     0.9971  0.0005546     0.8135  0.0002375 10000   32 1024
 20   0.2637     0.9956   0.001195     0.8129  0.0003598 10000   32 1024
 20   0.3360     0.9935   0.001411      0.812  0.0005413 10000   32 1024
 20   0.4281     0.9902   0.001866     0.8107  0.0008076 10000   32 1024
 20   0.5456     0.9854   0.004235     0.8087   0.001187 10000   32 1024
 20   0.6952     0.9782   0.004073     0.8057   0.001816 10000   32 1024
 20   0.8859     0.9674   0.006124     0.8013    0.00263 10000   32 1024
 20   1.1288     0.9514     0.0091     0.7947   0.004012 10000   32 1024
 20   1.4384     0.9282    0.01332     0.7849   0.005863 10000   32 1024
 20   1.8330     0.8949    0.02747     0.7705   0.008525 10000   32 1024
 20   2.3357     0.8468    0.02679     0.7495    0.01254 10000   32 1024
 20   2.9764     0.7787    0.03675     0.7187    0.01799 10000   32 1024
 20   3.7927     0.6889    0.04832     0.6756     0.0252 10000   32 1024
 20   4.8329     0.5722    0.06008     0.6153    0.03401 10000   32 1024
 20   6.1585     0.4366    0.06827     0.5368    0.04502 10000   32 1024
 20   7.8476     0.2917    0.06763     0.4373    0.05342 10000   32 1024
 20  10.0000       0.16    0.05549     0.3214    0.05903 10000   32 1024
