#        D       V  V^2D^2
# Separate element interferometer visbility by the method
# of Korff
# Sampling= 200 per r0
#
   8.6000  0.0749  0.4150
   8.6500  0.0745  0.4151
   8.7000  0.0741  0.4153
   8.7500  0.0737  0.4154
   8.8000  0.0732  0.4155
   8.8500  0.0728  0.4156
   8.9000  0.0724  0.4157
   8.9500  0.0720  0.4158
   9.0000  0.0717  0.4159
   9.0500  0.0713  0.4160
   9.1000  0.0709  0.4162
   9.1500  0.0705  0.4163
   9.2000  0.0701  0.4164
   9.2500  0.0698  0.4165
   9.3000  0.0694  0.4166
   9.3500  0.0690  0.4167
   9.4000  0.0687  0.4168
   9.4500  0.0683  0.4169
   9.5000  0.0680  0.4170
   9.5500  0.0676  0.4171
   9.6000  0.0673  0.4172
   9.6500  0.0669  0.4173
   9.7000  0.0666  0.4174
   9.7500  0.0663  0.4174
   9.8000  0.0659  0.4175
   9.8500  0.0656  0.4176
   9.9000  0.0653  0.4177
   9.9500  0.0650  0.4178
  10.0000  0.0646  0.4179
  10.0500  0.0643  0.4180
  10.1000  0.0640  0.4181
  10.1500  0.0637  0.4182
  10.2000  0.0634  0.4182
  10.2500  0.0631  0.4183
  10.3000  0.0628  0.4184
  10.3500  0.0625  0.4185
  10.4000  0.0622  0.4186
  10.4500  0.0619  0.4187
  10.5000  0.0616  0.4187
  10.5500  0.0613  0.4188
  10.6000  0.0611  0.4189
  10.6500  0.0608  0.4190
  10.7000  0.0605  0.4191
  10.7500  0.0602  0.4191
  10.8000  0.0600  0.4192
  10.8500  0.0597  0.4193
  10.9000  0.0594  0.4194
  10.9500  0.0591  0.4194
  11.0000  0.0589  0.4195
  11.0500  0.0586  0.4196
  11.1000  0.0584  0.4196
  11.1500  0.0581  0.4197
  11.2000  0.0578  0.4198
  11.2500  0.0576  0.4199
  11.3000  0.0573  0.4199
  11.3500  0.0571  0.4200
  11.4000  0.0569  0.4201
  11.4500  0.0566  0.4201
  11.5000  0.0564  0.4202
  11.5500  0.0561  0.4203
  11.6000  0.0559  0.4203
  11.6500  0.0557  0.4204
  11.7000  0.0554  0.4205
  11.7500  0.0552  0.4205
  11.8000  0.0550  0.4206
  11.8500  0.0547  0.4207
  11.9000  0.0545  0.4207
  11.9500  0.0543  0.4208
  12.0000  0.0541  0.4208
  12.0500  0.0538  0.4209
  12.1000  0.0536  0.4210
  12.1500  0.0534  0.4210
  12.2000  0.0532  0.4211
  12.2500  0.0530  0.4211
  12.3000  0.0528  0.4212
  12.3500  0.0526  0.4213
  12.4000  0.0523  0.4213
  12.4500  0.0521  0.4214
  12.5000  0.0519  0.4214
  12.5500  0.0517  0.4215
  12.6000  0.0515  0.4215
  12.6500  0.0513  0.4216
  12.7000  0.0511  0.4217
  12.7500  0.0509  0.4217
  12.8000  0.0507  0.4218
  12.8500  0.0505  0.4218
  12.9000  0.0503  0.4219
  12.9500  0.0502  0.4219
  13.0000  0.0500  0.4220
  13.0500  0.0498  0.4220
  13.1000  0.0496  0.4221
  13.1500  0.0494  0.4221
  13.2000  0.0492  0.4222
  13.2500  0.0490  0.4222
  13.3000  0.0489  0.4223
  13.3500  0.0487  0.4223
  13.4000  0.0485  0.4224
  13.4500  0.0483  0.4224
  13.5000  0.0481  0.4225
  13.5500  0.0480  0.4225
  13.6000  0.0478  0.4226
  13.6500  0.0476  0.4226
  13.7000  0.0475  0.4227
  13.7500  0.0473  0.4227
  13.8000  0.0471  0.4228
  13.8500  0.0469  0.4228
  13.9000  0.0468  0.4229
  13.9500  0.0466  0.4229
  14.0000  0.0465  0.4229
  14.0500  0.0463  0.4230
  14.1000  0.0461  0.4230
  14.1500  0.0460  0.4231
  14.2000  0.0458  0.4231
  14.2500  0.0457  0.4232
  14.3000  0.0455  0.4232
  14.3500  0.0453  0.4233
  14.4000  0.0452  0.4233
  14.4500  0.0450  0.4233
  14.5000  0.0449  0.4234
  14.5500  0.0447  0.4234
  14.6000  0.0446  0.4235
  14.6500  0.0444  0.4235
  14.7000  0.0443  0.4235
  14.7500  0.0441  0.4236
  14.8000  0.0440  0.4236
  14.8500  0.0438  0.4237
  14.9000  0.0437  0.4237
  14.9500  0.0435  0.4237
  15.0000  0.0434  0.4238
